customer_id,customer_name,acquisition_channel,customer_segment,city,state,orders,lifetime_value,avg_order_value,last_order_date
3798,Lisa Miller,organic_search,Regular,Washington,DC,12,17784.40,1482.03,2025-11-14
5614,Matthew Taylor,organic_search,Regular,Charlotte,NC,10,17290.54,1729.05,2025-06-26
6967,Carol Scott,paid_search,Regular,Nashville,TN,12,17186.76,1432.23,2025-12-18
2271,Carol Green,email,At Risk,San Jose,CA,13,17039.85,1310.76,2025-10-24
8076,Donald Thomas,referral,New,Columbus,OH,8,16179.30,2022.41,2025-03-30
5328,David Walker,referral,New,Miami,FL,7,16050.66,2292.95,2025-02-26
8273,David Hill,affiliate,Regular,San Antonio,TX,11,15944.60,1449.51,2025-11-13
7405,Matthew Brown,social_media,VIP,Denver,CO,9,15819.95,1757.77,2025-06-26
8979,Paul Lee,referral,New,Columbus,OH,8,15730.24,1966.28,2025-12-09
2200,Betty Nguyen,social_media,VIP,Portland,OR,10,15632.07,1563.21,2025-08-05
5784,Linda Lee,paid_search,Regular,Indianapolis,IN,8,15439.27,1929.91,2025-09-26
3923,Melissa Young,referral,At Risk,Austin,TX,10,15381.26,1538.13,2025-10-07
5661,David Allen,direct,VIP,Houston,TX,13,15282.38,1175.57,2025-09-04
7272,Charles Davis,paid_search,At Risk,Las Vegas,NV,10,15279.66,1527.97,2025-07-25
9611,Donna Hall,email,Regular,New York,NY,8,15278.04,1909.76,2025-12-07
1179,John Mitchell,referral,New,Charlotte,NC,8,15195.57,1899.45,2025-12-20
9011,Carol Harris,marketplace,Regular,Portland,OR,13,15050.94,1157.76,2025-11-10
989,Timothy Thomas,affiliate,New,Philadelphia,PA,11,15030.44,1366.40,2025-10-21
555,Patricia Nelson,referral,New,Miami,FL,11,14989.92,1362.72,2025-11-05
7484,Jennifer Hernandez,marketplace,Regular,San Diego,CA,8,14924.59,1865.57,2025-09-26
7875,James Anderson,paid_search,VIP,Houston,TX,9,14900.42,1655.60,2025-11-27
2818,Betty Wright,email,New,Charlotte,NC,11,14896.09,1354.19,2025-09-12
9565,Linda Brown,affiliate,New,Washington,DC,8,14657.14,1832.14,2025-02-02
1727,Matthew Wright,direct,Regular,Houston,TX,6,14604.48,2434.08,2025-10-03
3952,Betty Nguyen,marketplace,Regular,Houston,TX,9,14559.46,1617.72,2025-11-28
207,Mark Anderson,affiliate,New,San Francisco,CA,11,14499.90,1318.17,2025-05-07
7751,Susan Campbell,affiliate,New,Los Angeles,CA,9,14463.63,1607.07,2025-03-09
1870,Steven Rivera,email,Regular,Houston,TX,7,14389.99,2055.71,2025-12-31
302,Daniel Davis,social_media,At Risk,Fort Worth,TX,9,14218.37,1579.82,2025-10-11
6635,Lisa Thompson,social_media,New,San Jose,CA,8,14212.84,1776.61,2025-04-24
4297,Ashley Young,referral,VIP,Washington,DC,7,14211.31,2030.19,2025-08-14
4243,Melissa Perez,paid_search,New,Las Vegas,NV,10,14017.30,1401.73,2025-05-28
8673,Betty Hall,social_media,Regular,Charlotte,NC,7,13963.40,1994.77,2025-01-26
5000,Lisa Taylor,organic_search,VIP,Washington,DC,8,13957.58,1744.70,2025-12-12
916,Emily Robinson,marketplace,New,Fort Worth,TX,6,13937.06,2322.84,2025-12-11
164,Kenneth Nguyen,referral,Regular,Washington,DC,8,13936.76,1742.09,2025-05-22
9535,Kevin Moore,email,Wholesale,Dallas,TX,11,13895.55,1263.23,2025-12-18
1668,Timothy Allen,marketplace,Regular,Chicago,IL,11,13739.81,1249.07,2025-10-15
2568,Amanda Garcia,social_media,Regular,Fort Worth,TX,8,13679.91,1709.99,2025-05-07
7943,Susan Rodriguez,organic_search,New,Miami,FL,10,13660.93,1366.09,2025-08-11
1279,Richard Martinez,email,Wholesale,San Antonio,TX,6,13597.50,2266.25,2025-11-15
5068,George Campbell,email,Regular,Philadelphia,PA,7,13553.66,1936.24,2025-10-08
3594,Donna Mitchell,direct,New,San Antonio,TX,6,13491.64,2248.61,2025-09-17
6964,Kenneth Allen,direct,New,Houston,TX,8,13464.64,1683.08,2025-08-20
8782,Charles Martin,referral,New,Las Vegas,NV,8,13428.77,1678.60,2025-09-13
9463,James Martin,affiliate,Regular,Nashville,TN,9,13382.44,1486.94,2025-07-31
1993,Kenneth Ramirez,organic_search,Regular,Austin,TX,8,13363.11,1670.39,2025-12-16
7356,David Clark,affiliate,New,San Diego,CA,7,13283.83,1897.69,2025-11-27
3014,Michelle Mitchell,social_media,Regular,San Diego,CA,5,13282.20,2656.44,2025-03-25
7797,Steven Green,marketplace,Regular,Fort Worth,TX,8,13263.20,1657.90,2025-06-15
1934,Sandra Thomas,organic_search,VIP,San Francisco,CA,9,13252.10,1472.46,2025-11-02
14,William Allen,social_media,New,Los Angeles,CA,4,13214.00,3303.50,2025-12-23
2177,Timothy Green,paid_search,New,Fort Worth,TX,10,13129.16,1312.92,2025-11-22
518,Carol Green,referral,New,Nashville,TN,8,13119.48,1639.93,2024-12-16
2142,Charles White,social_media,Regular,Chicago,IL,7,13074.23,1867.75,2025-01-01
6781,Jennifer Williams,direct,New,San Jose,CA,8,13052.80,1631.60,2025-01-03
9500,Anthony Taylor,direct,At Risk,Portland,OR,12,13038.22,1086.52,2025-10-10
1429,Amanda Wright,social_media,Regular,New York,NY,9,12974.26,1441.58,2025-09-09
7791,Betty Perez,paid_search,New,Los Angeles,CA,9,12932.53,1436.95,2025-05-23
8515,Linda Rodriguez,paid_search,Regular,Nashville,TN,9,12893.13,1432.57,2025-12-29
4523,Joseph Carter,email,Regular,Boston,MA,5,12873.78,2574.76,2025-06-23
6332,Ashley King,referral,Regular,Portland,OR,9,12870.03,1430.00,2025-08-07
