address_id,customer_id,address_type,street_address,city,state,postal_code,country,is_default
1,1,billing,4383 Hill Rd,San Diego,CA,88908,USA,1
2,2,shipping,3077 Lake Ln,Los Angeles,CA,16948,USA,1
3,3,shipping,9883 Pine Ln,Portland,OR,20830,USA,1
4,4,billing,7784 Park Blvd,Philadelphia,PA,53137,USA,1
5,5,shipping,5253 Lake Rd,Fort Worth,TX,11279,USA,1
6,6,shipping,1826 Maple Ave,Seattle,WA,36279,USA,1
7,6,shipping,2633 Willow Rd,San Diego,CA,47541,USA,0
8,7,billing,6434 North Ave,Portland,OR,74323,USA,1
9,7,billing,4007 Willow Ln,San Francisco,CA,40522,USA,0
10,8,billing,3679 View Blvd,Houston,TX,86273,USA,1
11,9,billing,7084 Main Rd,Nashville,TN,19880,USA,1
12,10,shipping,2429 Center Ave,Fort Worth,TX,19446,USA,1
13,11,billing,648 Pine Ln,Los Angeles,CA,55700,USA,1
14,12,shipping,194 Ridge Rd,San Francisco,CA,44003,USA,1
15,12,shipping,384 Hill Ln,San Jose,CA,21250,USA,0
16,13,shipping,1607 Cherry Blvd,Columbus,OH,73381,USA,1
17,14,billing,7779 North Ave,Los Angeles,CA,41944,USA,1
18,15,shipping,3333 Hill Rd,Washington,DC,42563,USA,1
19,16,billing,414 Main Rd,Seattle,WA,62598,USA,1
20,17,billing,7580 Washington Rd,Las Vegas,NV,63253,USA,1
21,18,billing,2011 Willow Blvd,Boston,MA,75631,USA,1
22,18,shipping,2847 Cedar Ln,Miami,FL,67068,USA,0
23,19,billing,9865 Ridge Rd,Washington,DC,38013,USA,1
24,20,shipping,4629 Washington Ave,Denver,CO,43331,USA,1
25,21,shipping,9602 Maple Ln,Phoenix,AZ,36333,USA,1
26,22,billing,6336 Center Ave,Columbus,OH,63641,USA,1
27,22,shipping,4182 Park Ln,San Diego,CA,37563,USA,0
28,23,billing,308 Ridge Blvd,Indianapolis,IN,54209,USA,1
29,24,shipping,188 Pine Ln,San Diego,CA,39550,USA,1
30,25,shipping,2780 Willow Rd,Los Angeles,CA,75436,USA,1
31,26,shipping,6631 Willow St,Phoenix,AZ,74407,USA,1
32,27,shipping,7534 Cedar St,Nashville,TN,70833,USA,1
33,28,billing,6698 Ridge Blvd,Boston,MA,14911,USA,1
34,29,shipping,7814 Elm Ave,Seattle,WA,36434,USA,1
35,30,shipping,4814 Elm St,Chicago,IL,29881,USA,1
36,31,shipping,6474 Ridge Rd,San Diego,CA,85184,USA,1
37,32,shipping,7467 Ridge Ln,New York,NY,20568,USA,1
38,33,shipping,3746 Park Blvd,Las Vegas,NV,70757,USA,1
39,34,shipping,6238 Washington Ave,Seattle,WA,62000,USA,1
40,34,shipping,6692 Hill Rd,Portland,OR,82038,USA,0
41,35,shipping,1971 Washington St,Indianapolis,IN,44203,USA,1
42,35,shipping,8153 View Rd,Jacksonville,FL,94124,USA,0
43,36,shipping,944 Sunset Ln,Nashville,TN,55694,USA,1
44,36,shipping,9812 Washington Blvd,New York,NY,21151,USA,0
45,37,billing,1432 Ridge Blvd,Columbus,OH,66206,USA,1
46,38,billing,2316 Highland Ln,Fort Worth,TX,26312,USA,1
47,39,shipping,2365 Sunset Ln,Denver,CO,11411,USA,1
48,40,shipping,7111 Cherry Rd,Chicago,IL,89769,USA,1
49,41,billing,9121 Hill Ln,Boston,MA,54521,USA,1
50,42,billing,2483 Highland Ln,Phoenix,AZ,60647,USA,1
51,42,billing,6322 Lake St,Nashville,TN,44632,USA,0
52,43,billing,5202 Maple Ave,Washington,DC,89377,USA,1
